,index,WBS,Task.Name,Score.Groups,link,begin,end,Predecessors,leaf,prob
251,251,4.3.4.2.,Independence of events,6,,,,250,TRUE,1
253,253,4.4.1.,Introduction to set,4,,,,,TRUE,30
254,254,4.4.2.,Union,4,,,,"253, 4",TRUE,30
255,255,4.4.3.,Intersection,4,,,,"253, 4",TRUE,30
256,256,4.4.4.,Set Word Problem (Venn Diagram),4,,,,"253, 4",TRUE,30
257,257,4.4.5.,Inclusion Exclusion ?,5,,,,"254, 255",TRUE,7
259,259,5.1.,"used ""choose"" but means permutation",5,,,,79,TRUE,7
260,260,5.2.,clubbing more than one variables together and treating them as a single variable and solve,2,,,,,TRUE,85
261,261,5.3.,Back Calculation,2,,,,,TRUE,85
262,262,5.4.,Answer can be obtained without explicitly solving equations,2,,,,,TRUE,85
263,263,5.5.,Solution is integer,3,,,,,TRUE,62
264,264,5.6.,Guestimate,2,,,,,TRUE,85
265,265,5.7.,optimisation,4,,,,,TRUE,30
266,266,5.8.,Solution is not integer,4,,,,,TRUE,30
267,267,5.9.,"when ""x is positive"" is mentioned, omit negative or 0 solution",3,,,,,TRUE,62
268,268,5.10.,Finding complement of the answer instead of solving directly,5,,,,,TRUE,7
269,269,5.11.,Negative Question,3,,,,,TRUE,62
270,270,5.12.,Redundant Informations,3,,,,,TRUE,62
271,271,5.13.,anything product 0 is 0,4,,,,,TRUE,30
272,272,5.14.,Corrections to AM,4,,,,,TRUE,30
273,273,5.15.,different units,3,,,,,TRUE,62
274,274,5.16.,Decomposition of geometric figures into well known ones,4,,,,,TRUE,30
275,275,5.17.,sum is symmetric,3,,,,,TRUE,62
276,276,5.18.,Shaded region doesn't always ask for area,4,,,,,TRUE,30
277,277,5.19.,plug in,4,,,,,TRUE,30
