WBS,Task Name,link,begin,end,Predecessors,is soft pred.1,is soft pred.2,Details,Start,Finish,Duration,% Complete,Status,Assigned To,Comments
3.3.6.1,Introduction to Right angled triangle,,,,"152, 149",,,"one angle 90, name of 3 sides",,,1,,,,
3.3.6.2,Pythagoras' Theorem and its application,,,,"37, 40, 162",,,"the theorem, some empirical proof, some pythagorean triplets",,,1,,,,
3.3.6.3,Area of Right angled triangle,,,,"154, 162",,,how to compute area of Right Angled triangles,,,1,,,,
3.3.7,Triangle Congruence Rules,,,,,,,,,,,,,,
3.3.7.1,SAS Rule,,,,"149, 152",,,No explanation,,,1,,,,
3.3.7.2,AAS rule,,,,"149, 152",,,No explanation,,,1,,,,
3.3.7.3,SSS rule,,,,"149, 152",,,No explanation,,,1,,,,
3.3.7.4,Rght triangle rule,,,,"149, 152",,,No explanation,,,1,,,,
3.3.8,Similar Triangles,,,,,,,,,,,,,,
3.3.8.1,Introduction to similar triangle,,,,"149, 152",,,"When to say two triangles are similar, properties of similar triangles",,,1,,,,
3.3.8.2,proportional sides,,,,"171, 69",,,"if two triangles has proportional sides, then they are similar",,,1,,,,
3.3.9,Triangle Inequality,,,,"149, 120",,,a+b>c,,,1,,,,
3.4.,Quadrilateral,,,,,,,,,,,,,,
3.4.1,Introduction to Quadrilaterals,,,,"143, 149",,,"area enclosed by 4 sides, perimeter, sum of angles",,,1,,,,
3.4.2,Parallelogram,,,,,,,,,,,,,,
3.4.2.1,Introduction to parallelogram,,,,175,,,"opposite sides parallel and equal, opposite angles equal, diagonals bisect",,,1,,,,
3.4.2.2,Area of parallelogram,,,,177,,,how to compute the area of parallelogram,,,1,,,,
3.4.3,Rectangle,,,,,,,,,,,,,,
3.4.3.1,Introduction to Rectangle,,,,175,,,"Perimeter, area, opposite sides equal, angles 90",,,1,,,,
3.4.3.2,Diagonal of rectangle,,,,"180, 163",,,"Length of rectangle, angles bisect each other",,,1,,,,
3.4.3.3,Area of the ribbon around the rectangle,,,,175,,,a road around a rectangular pool type of problems,,,1,,,,
3.4.4,Square,,,,180,,,Square is a special rectangle,,,1,,,,
3.5.,Polygon,,,,"143, 149",,,"regular polygon, perimeter, angles",,,1,,,,
3.6.,Circle,,,,,,,,,,,,,,
3.6.1,Introduction to circle,,,,143,,,"define centre, diameter, perimeter, radius, ark, Any point on perimeter is at same distance from centre",,,1,,,,
3.6.2,Tangent,,,,,,,,,,,,,,
3.6.2.1,Tangent is perpendicular to radius,,,,"186, 146",,,Different properties of Tangent to a circle,,,1,,,,
3.6.2.2,Circles tangent to each other,,,,188,,,Two circles tangent to each other - definition and properties,,,1,,,,
3.6.3,Length of circumference,,,,186,,,perimeter=2pi.r=pi.d,,,1,,,,
3.6.4,Idea of Radian,,,,"190, 146",,,the angle generated by a fixed arc is always constant.,,,1,,,,
3.6.5,Angle Properties of circle,,,,,,,,,,,,,,
3.6.5.1,Angle in centre is twice of angle at circumference,,,,159,,,"proof of the theorem, a few applications",,,1,,,,
3.6.5.2,traingle with one side as diameter is always right angled,,,,193,,,as a corollary of prev theorem,,,1,,,,
3.7.,Solid Geometry,,,,,,,,,,,,,,
3.7.1,Cuboid,,,,,,,,,,,,,,
3.7.1.1,Introduction to Cuboids,,,,180,,,"shape, sides, total face area",,,1,,,,
3.7.1.2,Volume,,,,197,,,how to compute the volume,,,1,,,,
3.7.1.3,Diagonals,,,,"197, 163",,,diagonals of each face and the long diagonal,,,1,,,,
3.7.2,Cylinder,,,,,,,,,,,,,,
3.7.2.1,Introduction to Cylinders,,,,186,,,"shape, height, base, radius etc.",,,1,,,,
3.7.2.2,Curve surface Area,,,,"201, 180",,,how to compute,,,1,,,,
3.7.2.3,Volume,,,,201,,,how to compute,,,1,,,,
3.7.3,Sphere and hemisphere,,,,,,,,,,,,,,
3.7.3.1,Introduction to sphere and hemisphere,,,,186,,,"shape, radius",,,1,,,,
3.7.3.2,Volume,,,,205,,,formula to compute volume,,,1,,,,
3.7.3.3,Outer Surface Area,,,,205,,,formula to compute surface area,,,1,,,,
3.7.3.4,crosssection area at x distance from centre,,,,"186, 163",,,the radius of the cross section and the distance from centre and the radius are pythagorean triplets,,,1,,,,
3.7.4,Prism,,,,,,,,,,,,,,
3.7.4.1,Introduction to prism,,,,"152, 180",,,"shape, base, sides, height",,,1,,,,
3.7.4.2,Surface Areas,,,,"154, 210",,,"two surface are triangle, rest are rectangles",,,1,,,,
3.7.4.3,Volume,,,,"154, 210",,,compute volume,,,1,,,,
3.7.5,Cone,,,,,,,,,,,,,,
3.7.5.1,Introduction to cone,,,,186,,,"shape, base, height",,,1,,,,
3.7.5.2,Volume,,,,214,,,formula to compute volume,,,1,,,,
3.7.5.3,surface Area,,,,214,,,formula to compute base area and curved surface area,,,1,,,,
3.8.,Co-ordinate Geometry,,,,,,,,,,,,,,
3.8.1,Introduction to Co-ordinate Geometry,,,,12,,,"coordinate plane is Cartesian product of number line, points and st. lines in coord plane",,,1,,,,
3.8.2,Distance between two points,,,,"163, 218",,,formula to compute distance,,,1,,,,
3.8.3,Midpoint of a line segment,,,,218,,,formula to compute midpoint,,,1,,,,
3.8.4,slope of a straight line,,,,,,,,,,,,,,
3.8.4.1,Introduction to slope of a straight line,,,,"218, 134",,,,,,1,,,,
3.8.4.2,Slope of parallel lines,,,,222,,,slope is equal,,,1,,,,
3.8.4.3,slope of perpendicular lines,,,,222,,,product of slope -1,,,1,,,,
3.9.,Transformation Geometry,,,,,,,,,,,,,,
3.9.1,Translation,,,,143,,,,,,1,,,,
3.9.2,Rotation,,,,143,,,axis of rotation,,,1,,,,
3.9.3,Reflection,,,,143,,,"symmetry, line of symmetricity",,,1,,,,
3.10.,Locus,,,,143,,,,,,1,,,,
3.11.,Making equation out of Geometric figure,,,,"134, 135",,,,,,1,,,,
3.12.,Word Geometry Problem,,,,218,,,,,,1,,,,
4.,Data Interpretation,,,,,,,,,,,,,,
4.1.,Visual Data Interpretation,,,,,,,,,,,,,,
4.1.1,Pie Chart,,,,62,,,interpret data shown in pie chart,,,1,,,,
4.1.2,Line Graph,,,,,,,interpret data shown in line chart,,,,,,,
4.1.3,Bar/ Column Diagram,,,,,,,interpret data shown in bar chart,,,,,,,
4.1.4,Pictograph,,,,,,,interpret data shown in pictograph,,,,,,,
4.1.5,Coordinate Graph,,,,218,,,,,,1,,,,
4.2.,convert words into graph,,,,218,,,,,,1,,,,
4.3.,Statistics,,,,,,,,,,,,,,
4.3.1,Arithmetic Mean,,,,,,,,,,,,,,
4.3.1.1,Introduction to AM,,,,6,,,How to compute AM,,,,,,,
4.3.1.2,Idea of AM in Algebra,,,,"100, 242",,,AM with variables or unknown terms,,,1,,,,
4.3.1.3,Weighted AM,,,,242,,,weight associated with variables,,,1,,,,
4.3.2,Median,,,,,,,,,,,,,,
4.3.2.1,no of observation is odd,https://www.youtube.com/watch?v=oCz49GXbbGY,,,13,,,,,,1,,,,
4.3.2.2,No of observation is even,https://www.youtube.com/watch?v=9-_4e-VDpk0,,,13,,,,,,1,,,,
4.3.3,Mode,https://www.youtube.com/watch?v=khP3ge7a2Yk,,,,,,most number of occurance in the dataset,,,,,,,
