WBS,Task Name,link,begin,end,Predecessors,is soft pred.1,is soft pred.2,Details,Start,Finish,Duration,% Complete,Status,Assigned To,Comments
1.10.2.2.,Restricted Permutations,"https://www.youtube.com/watch?v=yZ_0HmTn0oI
https://www.youtube.com/watch?v=zxxrR2oa0-M
https://www.youtube.com/watch?v=dW6r1T-Y1Mk",".
.
3:26","1:50
3:36
6:50",79,,,When some kind of constraint is given (eg. person A must sit in chair I),,,1,,,,
1.10.2.3.,Permutation of items where multiple copies of same item are present,https://www.youtube.com/watch?v=DpRjzwbwfUk,4:18,8:08,79,,,like in how many way 2 red ball and 3 white ball can be arranged in a line?,,,1,,,,
1.10.3,Combinations,,,,,,,,,,,,,,
1.10.3.1,Introduction to combination,https://www.youtube.com/watch?v=uYwjFWqVSBE,,,6,,,"Choose, make a team and other similar words. how to compute the number of all possible combinations",,,1,,,,
1.10.3.2,Making team of...,,,,83,,,There are multiple copies of each item. the number of copies of each item in the sample is fixed. (eg. make a team of 3 boys and 2 girls from a class consisting of 13 boys and 8 girls.),,,1,,,,
1.10.3.3,All possible pair,,,,83,,,"Number of handshakes, number of straight lines etc.",,,1,,,,
1.11.,Exponents,,,,,,,,,,,,,,
1.11.1,Introduction to Exponents,https://www.youtube.com/watch?v=XZRQhkii0h0,,,6,,,"what is exponent, sum:multiplication=multiplication:raised to the power",,,1,,,,
1.11.2,Inequalities of exponents,,,,87,,,"If the base is proper fraction, increasing exponent decreases value etc.",,,1,,,,
1.11.3,Multiplication- addition of exponent,,,,,,,,,,,,,,
1.11.3.1,Introduction to multiplication of terms with same base,"https://www.youtube.com/watch?v=kITJ6qH7jS0
https://www.youtube.com/watch?v=kITJ6qH7jS0","2:22
5:43","5:01
8:33",87,,,"multiplying two number with same base, dividing one number with another, both having same base",,,1,,,,
1.11.3.2,Negative exponents,https://www.youtube.com/watch?v=JnpqlXN9Whw,,2:43,90,,,how to explain negative exponents,,,1,,,,
1.11.4,multiplication of exponents,,,,,,,,,,,,,,
1.11.4.1,Introduction to multiplication of exponents,https://www.youtube.com/watch?v=rEtuPhl6930,0:53,2:27,87,,,raising power of a number is multiplying the exponent in the number with that power,,,1,,,,
1.11.4.2,Fractional Expoents,"https://www.youtube.com/watch?v=tOuCdKqO6-s
https://www.youtube.com/watch?v=tOuCdKqO6-s","5:11
8:18","7:22
10:14",93,,,How to explain fraction exponents,,,1,,,,
1.12.,Logical Reasoning,,,,,,,Anything where no mathematical knowledge is not required,,,1,,,,
1.13.,Rate Problems,,,,,,,,,,,,,,
1.13.1,Speed and Distance,,,,"6, 21",,,,,,1,,,,
1.13.2,Work Rate,,,,"6, 21",,,,,,,,,,
2.,Algebra,,,,,,,,,,,,,,
2.1.,Basic Algebraic operations,"https://www.youtube.com/watch?v=DBV-R5it_Kw
https://www.youtube.com/watch?v=-1Mxuqifo1k",,2:55,6,,,"Cover adding two unknown terms and idea of coefficients, simplification of expressions",,,1,,,,
2.2.,Algebraic Factorization,,,,,,,,,,,,,,
2.2.1,difference of square,https://www.youtube.com/watch?v=tvnOWIoeeaU,,,100,,,factorize a^2-b^2,,,1,,,,
2.2.2,taking common terms out,https://www.youtube.com/watch?v=FuHThqvKaKU,,,100,,,x^2-3x=x(x-3),,,1,,,,
2.2.3,middle term expansion of quadratic expression,https://www.youtube.com/watch?v=YMBjk_v-0j8,,,100,,,x^2-3x+2=(x-1)(x-2),,,1,,,,
2.2.4,cube difference,https://www.youtube.com/watch?v=eXjxF1I9o4E,,3:26,100,,,a^3-b^3 factorization,,,1,,,,
2.3.,Exponents,,,,,,,,,,,,,,
2.3.1,Introduction to Exponents,,,,100,,,"what is exponent, sum:multiplication=multiplication:raised to the power",,,1,,,,
2.3.2,Inequalities of exponents,,,,"13, 107",,,"If the base is proper fraction, increasing exponent decreases value etc.",,,1,,,,
2.3.3,Multiplication- addition of exponent,,,,,,,,,,,,,,
